FSC-A,SSC-A,IgG,IgG2A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,AmCyan-A
119551.24,137053.36,271.35,279.45,224.1,-8.1,57.24,38.88,437.31998,451.24
105228.68,101864.25,118.8,122.85,178.2,24.300001,183.6,153.36,332.91998,339.88
145890.84,165574.8,284.85,238.95,234.90001,-1.35,292.68002,-12.960001,501.12,537.07996
165083.89,262143.0,1993.9501,1609.2001,1533.6,247.05,1151.28,95.04,1933.72,3045.0
120225.6,127569.6,141.75,202.5,117.450005,83.700005,292.68002,100.44,409.47998,422.24
192314.97,262143.0,1692.9,1695.6,1503.9,261.9,1143.7201,282.96002,2129.76,3295.5598
133374.25,177811.2,278.1,135.0,140.40001,59.4,380.16,-23.76,464.0,553.32
112764.4,70879.055,268.65,319.95,60.75,52.65,63.72,29.160002,207.64,338.72
116403.0,152608.05,238.95,183.6,83.700005,67.5,165.24,49.68,411.8,306.24
125141.164,152535.16,176.85,167.40001,238.95,-5.4,60.480003,135.0,429.19998,556.8
98924.84,69835.5,257.85,202.5,105.3,17.550001,167.40001,91.8,247.07999,410.63998
137057.92,166626.45,459.0,243.0,270.0,48.600002,308.88,-4.32,476.75998,647.27997
119463.84,131463.0,271.35,145.8,229.5,66.15,223.56001,98.28001,403.68,409.47998
110589.52,72472.055,256.5,382.05002,183.6,28.35,114.48,17.28,278.4,204.15999
122660.84,131637.16,307.80002,199.8,230.85,-24.300001,151.20001,4.32,447.75998,551.0
167709.56,262143.0,2211.3,2034.4501,2224.8,264.6,1545.4801,213.84001,2314.2,3897.5999
116190.484,76910.85,126.9,437.4,264.6,41.850002,101.520004,-41.04,361.91998,457.03998
130291.32,183705.3,307.80002,348.30002,417.15,130.95,168.48001,20.52,540.56,641.48
151454.08,161912.25,337.5,205.2,375.30002,114.75,298.08002,46.440002,483.72,556.8
144181.48,192161.7,255.15001,230.85,390.15,91.8,199.8,33.48,510.4,580.0
124243.24,133767.45,174.15001,70.200005,217.35,27.0,359.64,-75.600006,395.56,460.52
135744.16,155440.36,190.35,27.0,491.4,14.85,51.840004,35.640003,436.15997,470.96
106553.484,177080.86,340.2,97.200005,133.65001,144.45,255.96,98.28001,480.24,566.07996
153283.97,175745.7,355.05002,209.25,202.5,87.75,277.56,166.32,458.19998,576.51996
180805.77,262143.0,2089.8,1798.2001,1811.7001,271.35,940.68005,85.32,2136.72,3437.0798
134543.56,165908.25,257.85,193.05,240.3,-14.85,194.40001,22.68,571.88,609.0
149747.48,181988.11,325.35,321.30002,406.35,83.700005,383.40002,54.000004,484.87997,657.72
129327.164,139243.05,221.40001,294.30002,382.05002,35.100002,260.28,-14.040001,443.12,476.75998
122172.32,136301.4,259.2,209.25,336.15,70.200005,356.40002,99.36,439.63998,534.76
97740.805,95116.95,110.700005,118.8,112.05,32.4,159.84001,-91.8,205.31999,381.63998
262143.0,52481.25,768.15,522.45,454.95,18.9,378.0,29.160002,317.84,1059.08
194093.33,262143.0,1933.2001,1782.0,2245.05,178.2,1254.9601,248.40001,2446.44,3725.92
137609.92,168804.0,228.15001,240.3,368.55002,32.4,115.560005,-89.64001,515.04,509.24
105784.36,103272.305,95.85,233.55,155.25,0.0,194.40001,174.96,302.75998,357.28
97612.92,67961.7,282.15,245.7,64.8,-31.050001,190.08,150.12001,363.08,366.56
91672.484,61839.45,113.4,214.65001,283.5,18.9,4.32,44.280003,222.72,359.59998
130859.88,154886.86,229.5,203.85,459.0,0.0,178.20001,74.520004,464.0,489.52
126803.6,147577.95,105.3,194.40001,238.95,106.65,320.76,7.5600004,502.28,476.75998
149148.56,154116.0,322.65,209.25,282.15,-21.6,12.960001,0.0,447.75998,553.32
141780.28,194913.0,305.1,329.4,518.4,25.65,584.28,253.8,535.92,691.36
165044.33,196400.7,318.6,298.35,392.85,62.100002,236.52,98.28001,560.27997,552.16
128207.52,181912.5,234.90001,288.9,284.85,39.15,246.24,132.84001,505.75998,769.07996
161653.2,262143.0,2238.3,2018.25,2457.0,211.95,1222.56,226.8,2011.44,3409.24
151213.97,157613.86,228.15001,141.75,391.5,85.05,371.52002,-11.88,460.52,508.08
155335.56,144051.75,330.75,180.90001,278.1,70.200005,344.52002,91.8,400.19998,483.72
121169.52,157905.45,245.7,198.45,183.6,118.8,221.40001,57.24,469.8,593.92
211259.61,262143.0,2004.75,1610.55,1605.15,190.35,839.16003,348.84003,2274.76,3106.48
108801.04,124679.25,225.45,275.4,429.30002,-24.300001,132.84001,-5.4,379.31998,503.43997
130743.96,141646.05,184.95,232.2,274.05002,28.35,158.76001,-82.08,430.36,563.76
181980.61,262143.0,1282.5,1354.05,1086.75,216.0,1382.4,259.2,1762.0399,2679.5999
112563.84,153026.55,175.5,213.3,151.2,90.450005,299.16,27.000002,453.56,567.24
89006.32,78452.555,203.85,178.2,168.75,48.600002,192.24,-41.04,148.48,301.6
55401.48,17278.65,207.90001,206.55,63.45,58.05,39.960003,31.320002,75.4,196.04
109696.2,151425.45,275.4,292.95,261.9,51.3,277.56,-4.32,462.84,577.68
88715.6,74248.65,360.45,83.700005,130.95,62.100002,70.200005,16.2,303.91998,366.56
121301.086,128638.805,153.90001,205.2,226.8,17.550001,277.56,8.64,356.12,372.36
